Date,Hour,SUPPLIER,SUPPLIER_HOTEL_ID,HOTEL_NAME,StatusMessage
2025-05-08,1,nutmd,653808,Homewood Suites By Hilton Los Angeles Redondo Beach,
2025-05-08,1,nutmd,653808,Homewood Suites By Hilton Los Angeles Redondo Beach,
2025-05-08,1,nutmd,653808,Homewood Suites By Hilton Los Angeles Redondo Beach,
2025-05-08,1,nutmd,139287,Best Western Plus Bowmanville,
2025-05-08,1,nutmd,124415,Best Western Plus Rancho Cordova Inn,
2025-05-08,1,nutmd,193111,Travelodge By Wyndham Colorado Springs Airport/Peterson AFB,
2025-05-08,1,nutmd,261079,Knights Inn Pasco,
2025-05-08,1,nutmd,1030268,Super 8 By Wyndham Houston Northwest Cypress,
2025-05-08,1,nutmd,1030268,Super 8 By Wyndham Houston Northwest Cypress,
2025-05-08,1,nutmd,213149,Hilton Garden Inn Portland Downtown Waterfront,
2025-05-08,1,nutmd,194329,Days Inn By Wyndham Baltimore Inner Harbor,
2025-05-08,1,nutmd,1020013,Fairfield Inn & Suites By Marriott Dallas Cedar Hill,
2025-05-08,1,nutmd,848272,EXchange Hotel Vancouver,
2025-05-08,1,nutmd,848272,EXchange Hotel Vancouver,
2025-05-08,1,nutmd,127402,Red Roof Inn PLUS+ Chicago - Naperville,
2025-05-08,1,nutmd,124415,Best Western Plus Rancho Cordova Inn,
2025-05-08,1,nutmd,124415,Best Western Plus Rancho Cordova Inn,
2025-05-08,1,nutmd,108776,"Country Inn & Suites By Radisson, Bloomington At Mall Of America, MN",
2025-05-08,1,nutmd,186522,Super 8 By Wyndham Aurora/Naperville Area,
2025-05-08,1,nutmd,127392,Red Roof Inn PLUS+ Pittsburgh East - Monroeville,
2025-05-08,1,nutmd,117785,Baymont By Wyndham Amarillo East,
2025-05-08,1,nutmd,117785,Baymont By Wyndham Amarillo East,
2025-05-08,1,nutmd,140037,HomeTowne Studios By Red Roof Colorado Springs - Airport,
2025-05-08,1,nutmd,129117,Days Inn By Wyndham Anaheim Near The Park,
2025-05-08,1,nutmd,129117,Days Inn By Wyndham Anaheim Near The Park,
2025-05-08,1,nutmd,337757,Baymont By Wyndham Denver International Airport,
2025-05-08,1,nutmd,699063,YOTEL Boston,
2025-05-08,1,nutmd,128401,Travelodge By Wyndham North Richland Hills/Dallas/Ft Worth,
2025-05-08,1,nutmd,128401,Travelodge By Wyndham North Richland Hills/Dallas/Ft Worth,
2025-05-08,1,nutmd,129625,"Chelsea Hotel, Toronto",
2025-05-08,1,nutmd,129625,"Chelsea Hotel, Toronto",
2025-05-08,1,nutmd,129625,"Chelsea Hotel, Toronto",
2025-05-08,1,nutmd,529455,Travelodge By Wyndham Grand Falls,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,218762,SureStay Plus Hotel By Best Western Mesquite,
2025-05-08,1,nutmd,218762,SureStay Plus Hotel By Best Western Mesquite,
2025-05-08,1,nutmd,362421,Courtyard By Marriott Amarillo Downtown,
2025-05-08,1,nutmd,362421,Courtyard By Marriott Amarillo Downtown,
2025-05-08,1,nutmd,141741,Ocean Sky Hotel And Resort,
2025-05-08,1,nutmd,141587,Quality Suites Whitby,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,212851,Super 8 By Wyndham Miamisburg Dayton S Area OH,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,105319,"The Westin South Coast Plaza, Costa Mesa",
2025-05-08,1,nutmd,105319,"The Westin South Coast Plaza, Costa Mesa",
2025-05-08,1,nutmd,106038,Millennium Hilton New York One UN Plaza,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,120161,Embassy Suites By Hilton Greensboro Airport,
2025-05-08,1,nutmd,112479,New Victorian Inn & Suites,
2025-05-08,1,nutmd,151980,Hilton Boston Logan Airport,
2025-05-08,1,nutmd,151980,Hilton Boston Logan Airport,
2025-05-08,1,nutmd,151980,Hilton Boston Logan Airport,
2025-05-08,2,nutmd,204053,Best Western Plus Toronto North York Hotel & Suites,
2025-05-08,2,nutmd,163777,Hilton New York Times Square,
2025-05-08,2,nutmd,107939,Best Western Plus Kingston Hotel And Conference Center,
2025-05-08,2,nutmd,107939,Best Western Plus Kingston Hotel And Conference Center,
2025-05-08,2,nutmd,163777,Hilton New York Times Square,
2025-05-08,2,nutmd,480262,Best Western Franklin Town Center Hotel & Suites,
2025-05-08,2,nutmd,506101,Best Western Plus Manvel Inn & Suites,
2025-05-08,2,nutmd,506101,Best Western Plus Manvel Inn & Suites,
2025-05-08,2,nutmd,189957,Best Western Concord Inn & Suites,
2025-05-08,4,nutmd,115610,Congress Plaza Hotel,
2025-05-08,4,nutmd,115610,Congress Plaza Hotel,
2025-05-08,4,nutmd,249485,Hampton Inn Seguin,
2025-05-08,4,nutmd,249485,Hampton Inn Seguin,
2025-05-08,4,nutmd,254186,Baymont By Wyndham Las Vegas South Strip,
2025-05-08,4,nutmd,254186,Baymont By Wyndham Las Vegas South Strip,
2025-05-08,4,nutmd,270326,SureStay Hotel By Best Western Fairfield Napa Valley,
2025-05-08,4,nutmd,179043,Paradise Point Resort & Spa,
2025-05-08,5,nutmd,1736725,Tru By Hilton Edmonton Windermere,
2025-05-08,5,nutmd,546128,Legoland Florida Hotel,
2025-05-08,5,nutmd,546128,Legoland Florida Hotel,
2025-05-08,5,nutmd,123114,CoCo Key Hotel And Water Resort,
2025-05-08,5,nutmd,208559,Suburban Studios,
2025-05-08,5,nutmd,193508,SureStay Hotel By Best Western San Diego Pacific Beach,
2025-05-08,5,nutmd,193508,SureStay Hotel By Best Western San Diego Pacific Beach,
2025-05-08,5,nutmd,193508,SureStay Hotel By Best Western San Diego Pacific Beach,
2025-05-08,5,nutmd,114635,The Westin Los Angeles Airport,
2025-05-08,5,nutmd,139407,Harrah's Laughlin Beach Resort & Casino,
2025-05-08,5,nutmd,139407,Harrah's Laughlin Beach Resort & Casino,
2025-05-08,5,nutmd,161827,Days Inn By Wyndham Pleasant Prairie Kenosha,
2025-05-08,5,nutmd,182701,Monte Carlo Inn Airport Suites,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,139247,DoubleTree By Hilton Hartford Downtown,
2025-05-08,5,nutmd,139247,DoubleTree By Hilton Hartford Downtown,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,1791851,The L Hotel,
2025-05-08,5,nutmd,117683,DoubleTree By Hilton LAX - El Segundo,
2025-05-08,5,nutmd,670404,"My Place Hotel - Boise/Meridian, ID",
2025-05-08,5,nutmd,256495,Sleep Inn & Suites Palatka North,
2025-05-08,5,nutmd,129698,Studio City Court Yard Hotel,
2025-05-08,5,nutmd,163751,The Watergate Hotel,
