providerId,HOTEL_NAME,SUPPLIER_HOTEL_ID,hotelErrorCount
1059,1 Hotel Brooklyn Bridge,606740,2
1059,Adelaide Inn,483712,1
1059,Americas Best Value Inn & Suites Ft. Collins E At I-25,473576,3
1059,Americas Best Value Inn Athens GA,171865,1
1059,Americas Best Value Inn Avenel Woodbridge,494325,1
1059,Archer Hotel Austin,575868,1
1059,Best Western Airport Inn,209953,2
1059,Best Western Executive Inn,506170,3
1059,Best Western Galleria Inn & Suites,205800,1
1059,Best Western George West Executive Inn,493993,1
1059,Best Western Hartford Hotel & Suites,124304,1
1059,Best Western Magnolia Inn And Suites,217417,1
1059,Best Western Mayport Inn & Suites,210886,1
1059,Best Western On The Bay Inn & Marina,177901,2
1059,Best Western Plus Addison/Dallas Hotel,216297,1
1059,Best Western Plus At Lake Powell,492971,1
1059,Best Western Plus Gateway Inn & Suites,210950,1
1059,Best Western Plus Heritage Inn,170041,1
1059,Best Western Plus Kalamazoo Suites,164973,1
1059,Best Western Plus Kingston Hotel And Conference Center,107939,1
1059,Best Western Plus Montreal East,349278,1
1059,Best Western Plus North Miami/Bal Harbour,149348,2
1059,Best Western Plus Siding 29 Lodge,165986,1
1059,Best Western Plus Toronto North York Hotel & Suites,204053,1
1059,Best Western Springfield West Inn,121571,1
1059,Budget Host Inn,119713,2
1059,Butterfly On LKF Boutique Hotel Central,1538121,2
1059,"Cambria Hotel Washington, D.C. Convention Center",448302,1
1059,"Chelsea Hotel, Toronto",129625,3
1059,Cobblestone Hotel & Suites - Wisconsin Rapids,782719,1
1059,Comfort Inn & Suites Buffalo Airport,112297,2
1059,Comfort Inn Glenmont - Albany South,122400,2
1059,Comfort Inn MSP Airport - Mall Of America,120698,2
1059,Comfort Suites,1634570,1
1059,Comfort Suites Columbus West- Hilliard,150815,1
1059,"Country Inn & Suites By Radisson, Marion, IL",309456,1
1059,"Country Inn & Suites By Radisson, Pensacola West, FL",269726,2
1059,Courtyard New York Manhattan/ Midtown East,138167,1
1059,Crowne Plaza Saddle Brook,131964,2
1059,Days Inn & Suites By Wyndham Ridgeland,169247,1
1059,Days Inn By Wyndham Hillsdale,115077,2
1059,Days Inn By Wyndham Mesquite Rodeo TX,173974,2
1059,DoubleTree By Hilton At The Entrance To Universal Orlando,117814,1
1059,DoubleTree By Hilton Hotel Boston Bayside,153530,1
1059,DoubleTree Suites By Hilton Hotel Cincinnati - Blue Ash,122502,1
1059,EST Hotel,959388,1
1059,Econo Lodge Milldale - Southington,270845,1
1059,Elite World Grand Istanbul Basın Ekspres Hotel,663813,1
1059,Embassy Hotel,164139,1
1059,Embassy Suites By Hilton Greensboro Airport,120161,1
1059,Esm Miami Beach,249087,1
1059,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",232217,1
1059,Executive Residency By Best Western Navigator Inn & Suites,179991,1
1059,Extend-A-Suites Phoenix,195863,1
1059,Extended Stay America Premier Suites - Fort Lauderdale - Deerfield Beach,146678,2
1059,Extended Stay America Premier Suites Charlotte Pineville Pineville Matthews Rd.,151040,2
1059,Extended Stay America Select Suites - Jackson - South,524686,1
1059,Extended Stay America Suites Austin North Central,149462,2
1059,Extended Stay America Suites Detroit Madison Heights,134408,1
1059,Extended Stay America Suites Hartford Manchester,203049,1
1059,Extended Stay America Suites Long Island Melville,188819,1
1059,Flag Motor Lodge,477970,1
1059,German Village Inn Columbus,272701,2
1059,Great Eastern Motor Lodge,476659,1
1059,GreenTree Inn & Suites Phoenix Sky Harbor,113570,1
1059,Hampton Inn & Suites Providence/Warwick-Airport,170404,1
1059,Hampton Inn Albany-Wolf Road (Airport),111978,1
1059,Hawthorn Suites By Wyndham Williamsville Buffalo Airport,275844,1
1059,Holiday Inn Express Nashville Downtown,163717,1
1059,Homewood Suites By Hilton Savannah Historic District/Riverfront,477232,1
1059,Hotel Angeleno,220088,1
1059,Hotel Indigo Memphis Downtown,267497,1
1059,Hotel Marina El Cid Spa & Beach Resort All Inclusive,233543,1
1059,Hotel Rio,675218,1
1059,Hotel Walhalla,329177,3
1059,Hotel Warner,394825,2
1059,Howard Johnson By Wyndham Orlando/International Drive,191571,4
1059,Ibis Budget Coffs Harbour,500238,1
1059,Indian Wells Resort Hotel,122351,1
1059,Kazakhstan,639938,2
1059,Knights Inn Madison Heights VA,202820,1
1059,Knights Inn Trevose,202816,6
1059,Kompose Boutique Hotel,1700179065,3
1059,La Quinta Inn & Suites By Wyndham Dallas - Richardson,678215,2
1059,Le Nouvel Hotel,172553,1
1059,LeLux Hotel,228854,2
1059,Lodge At Feather Falls Casino,578014,1
1059,M Hotel Buffalo,225186,1
1059,MGM Grand Hotel & Casino,108540,3
1059,Microtel By Wyndham Perry National Fairground Area I-75,268108,1
1059,Motel 6 Denver Thornton,454140,1
1059,NH Collection Milano Porta Nuova,153668,1
1059,North Miami Beach Gardens Inn & Suites,169996,1
1059,Novotel Milano Linate Aeroporto,124865,1
1059,OYO Hotel Orlando Airport,1700115834,3
1059,OYO Hotel Valdosta GA I-75,499417,1
1059,OYO Times Square,292875,4
1059,Ocean Casino Resort,424048,1
1059,Ocean Court Beachfront Hotel,485390,1
1059,Paradox Hotel Vancouver,595108,1
1059,Paris Las Vegas Resort & Casino,161293,1
1059,Park Grand London Heathrow,406359,1
1059,Pod Brooklyn,748199,1
1059,Prestige Aberdeen Lodge Kamloops,350935,1
1059,"Prestige Beach House, WorldHotels Crafted",120203,1
1059,Puffin Inn,232884,1
1059,Quality Inn,210152,2
1059,Quality Inn & Suites Leesburg Chain Of Lakes,201447,2
1059,Quality Inn At Arlington Highlands,153116,1
1059,Quality Inn Columbus - East,194269,1
1059,Quality Inn Kodak Sevierville,266956,1
1059,Radisson Toronto Airport West,266224,1
1059,Ramada By Wyndham Jacksonville I-95 By Butler BLVD,107347,2
1059,Red Lion Inn & Suites Pontoon Beach,209582,1
1059,Relax Inn By OYO Columbus OH I 70,279147,1
1059,Robert Treat Hotel,124705,2
1059,Royal Palace Westwood,218157,1
1059,Sandman Signature Toronto Airport Hotel,258545,1
1059,Sfera's Park Suites & Convention Centre,511925,1
1059,Sonesta Anaheim Resort Area,199426,3
1059,Sonesta San Jose - Milpitas,142137,10
1059,Sonesta Select Atlanta Duluth,119599,5
1059,Sonesta Select Atlanta Norcross I-85,118881,1
1059,Sonesta Select Boston Lowell Chelmsford,122762,3
1059,Sonesta Select Chattanooga Hamilton Place,126571,3
1059,Sonesta Select Columbia,126559,2
1059,Sonesta Select Dallas Richardson,169126,1
1059,Sonesta Select Durham Research Triangle Park,138186,1
1059,Sonesta Select Miami Lakes,123916,1
1059,Sonesta Select Phoenix Camelback,123408,1
1059,Sonesta Select Whippany Hanover,138217,2
1059,Sonesta Simply Suites Denver West Federal Center,146630,1
1059,Sonesta Simply Suites Parsippany Morris Plains,164431,1
1059,Sonesta Simply Suites Philadelphia Mount Laurel,147560,3
1059,Sonesta White Plains Downtown,107901,1
1059,Stoke Hotel SureStay Collection By Best Western,465226,1
1059,Suburban Studios Columbus East,105599,1
1059,Super 8 By Wyndham Clearwater/St. Petersburg Airport,201448,2
1059,SureStay Hotel By Best Western San Diego Pacific Beach,193508,1
1059,SureStay Plus By Best Western San Antonio Fiesta Inn,202174,1
1059,SureStay Plus Hotel By Best Western Durham Medical Center,122309,1
1059,SureStay Plus Hotel By Best Western Sacramento Cal Expo,550027,4
1059,SureStay Plus Hotel By Best Western Sacramento North,642965,1
1059,The Cheshire,129415,1
1059,The Cosmopolitan Motel & Serviced Apartments,458111,3
1059,The D Las Vegas,110925,1
1059,The LINQ Hotel + Experience,469402,3
1059,The New Pioneer,371164,1
1059,The Palms Hotel & Spa,106399,1
1059,Toyoko Inn Osaka Sakai-Higashi-Eki,672954,1
1059,Travelodge By Wyndham Vancouver Airport,143214,1
1059,Tru By Hilton Grove City Columbus,1700086929,3
1059,Wind Creek Bethlehem,380958,1
1059,Wyndham Garden Pittsburgh Airport,120333,1
1063,APA Hotel Woodbridge,113014,1
1063,Americas Best Value Inn Athens GA,171865,2
1063,Americas Best Value Inn Denver,112561,1
1063,Barceló Maya Tropical - All Inclusive,234478,1
1063,Best Western Airport Inn,209953,2
1063,Best Western Au Trocadero,347206,1
1063,Best Western Garden Villa Inn,209189,1
1063,Best Western Harbour Inn & Suites,242443,1
1063,Best Western Hotel Rome Airport,323851,1
1063,Best Western Parkway Hotel Toronto North,181542,2
1063,Best Western Plus Champaign/Urbana Inn,308244,1
1063,Best Western Plus Durham Hotel & Conference Centre,223241,1
1063,Best Western Plus Executive Inn & Suites,209920,1
1063,Best Western Plus High Country Inn,495466,2
1063,Best Western Plus InnTowner Madison,209477,2
1063,Best Western Plus Northwind Inn & Suites,373483,1
1063,Best Western Plus Rancho Cordova Inn,124415,1
1063,Best Western Plus The Four Corners Inn,201772,1
1063,Best Western Plus West Covina Inn,209702,5
1063,Best Western Premier Freeport Inn Calgary Airport,368334,1
1063,Bloc Hotel Birmingham,373350,1
1063,Britannia Adelphi Hotel,124469,1
1063,Britannia Hotel Manchester,124470,1
1063,"Buchanan Arms Hotel & Leisure, Sure Hotel Collection",145525,1
1063,Cambria Hotel Fort Mill,2180000,1
1063,Candlewood Suites New York City-Times Square,270634,4
1063,Candlewood Suites Vestal - Binghamton,564055,2
1063,Clarion Hotel Conference Center - North,107633,1
