providerId,errorMessage,errorCount
1059,No availability was found for requested criteria.,231
1059,Success,6
1063,No availability was found for requested criteria.,159
1063,Success,66
1065,No availability was found for requested criteria.,145
1065,Success,2
1116,No availability was found for requested criteria.,97
1116,Success,46
1117,No availability was found for requested criteria.,133
1117,Success,86
1118,No availability was found for requested criteria.,12
1118,Success,6
1169,No availability was found for requested criteria.,1
1237,No availability was found for requested criteria.,67
1237,Success,10
1238,No availability was found for requested criteria.,78
1238,Success,12
1263,No availability was found for requested criteria.,10
1263,Success,1
1281,No availability was found for requested criteria.,34
1281,Success,4
1290,No availability was found for requested criteria.,53
1290,Success,13
1291,No availability was found for requested criteria.,21
1291,Success,4
1300,No availability was found for requested criteria.,177
1300,Success,36
1307,No availability was found for requested criteria.,64
1307,Success,9
1371,No availability was found for requested criteria.,195
1371,Success,81
31,No availability was found for requested criteria.,67
31,Success,14
319,No availability was found for requested criteria.,223
319,Success,57
431,No availability was found for requested criteria.,209
431,Success,113
437,No availability was found for requested criteria.,19
437,Success,11
457,No availability was found for requested criteria.,16
457,Success,10
577,No availability was found for requested criteria.,31
577,Success,9
618,No availability was found for requested criteria.,10
618,Success,8
631,No availability was found for requested criteria.,6
631,Success,1
632,No availability was found for requested criteria.,3
632,Success,13
640,No availability was found for requested criteria.,110
640,Success,37
669,No availability was found for requested criteria.,169
669,Success,155
77,No availability was found for requested criteria.,61
77,Success,11
856,No availability was found for requested criteria.,4
856,Success,1
924,No availability was found for requested criteria.,32
924,Success,2
951,No availability was found for requested criteria.,28
951,Success,17
963,No availability was found for requested criteria.,1
963,Success,1
968,No availability was found for requested criteria.,58
968,Success,4
